wavelength,transmission
649,0.804755258071509
651,0.805705050634662
653,0.804622332047022
655,0.80500214095843
657,0.807269416085198
659,0.811925319232066
661,0.815116472659575
663,0.820188967094155
665,0.823091469218601
667,0.826425013545602
669,0.829462443809309
671,0.832825094239872
673,0.837952472034742
675,0.841459805132798
677,0.843713481116669
679,0.829321653363364
681,0.818191370471985
683,0.81338958723355
685,0.806852964116851
687,0.802297423819409
689,0.802189238962011
691,0.799345628232172
693,0.796755722602166
695,0.795490717776254
697,0.794883226688258
699,0.810436142921494
701,0.822921392252586
703,0.829520320389499
705,0.837396274055195
707,0.841884677917947
709,0.826650811752338
711,0.811508839856079
713,0.812238165721694
715,0.799388382205877
717,0.788492718270663
719,0.774898651988678
721,0.766824405784238
723,0.759925249371329
725,0.758469205666201
727,0.758063966619067
729,0.774917875127655
731,0.794895504923987
733,0.799574455945458
735,0.816857049413863
737,0.831685117034272
739,0.849060135312395
741,0.860477017716614
743,0.870136365922017
745,0.874669283666618
747,0.879445064429493
749,0.882105146933739
751,0.815072531879047
753,0.778400910193804
755,0.73004063807321
757,0.704327751528583
759,0.698960247922236
761,0.698125416808066
763,0.698689508594603
765,0.699386540981299
767,0.700151647410119
769,0.700973031400091
771,0.770922466381885
773,0.809623511399582
775,0.8596964990982
777,0.886751363129599
779,0.89184030143248
781,0.890015405056096
783,0.888576949036582
785,0.888953851398529
787,0.88611308585524
789,0.885680060633687
791,0.883989463724739
793,0.881979206780971
795,0.879892538285748
797,0.879774942506773
799,0.881097743231994
801,0.883099411407347
803,0.880432168147256
805,0.865614269072361
807,0.848828492351591
809,0.829999719192785
811,0.816503282333991
813,0.812266673390856
815,0.805420972432414
817,0.796342727633223
819,0.780267075637644
821,0.772843343129219
823,0.766459648824917
825,0.774377772459315
827,0.789596855039248
829,0.807113030643715
831,0.822361080657017
833,0.828783841456172
835,0.83811642835669
837,0.848767883849134
839,0.866402518552576
841,0.877098125132874
843,0.889312611226033
845,0.897414550399777
847,0.903597346870093
849,0.907284557158337
851,0.909406652396433
853,0.911389957098212
855,0.913087539110753
857,0.913947456435473
859,0.914930298424369
861,0.915881550856686
863,0.917128381871755
865,0.918357354241667
867,0.919243245767423
869,0.919896491137153
871,0.920307999275805
873,0.920419486778212
875,0.920608769062329
877,0.919982019658402
879,0.919308073734085
881,0.918600931366329
883,0.917313061411264
885,0.911119803327067
887,0.895274462555983
889,0.875843788761533
891,0.859648275807717
893,0.838970114930148
895,0.832538145942807
897,0.821093441574686
899,0.797546851402515
901,0.771629110642199
903,0.753287515476239
905,0.73274017187128
907,0.716925811031561
909,0.706868490647499
911,0.709561411658732
913,0.714324962646291
915,0.706404692319612
917,0.704441425842125
919,0.700225492812297
921,0.681629822022348
923,0.641972825618336
925,0.592264623505591
927,0.549712933794104
929,0.509159117231867
931,0.483356439131036
933,0.45471866901517
935,0.40998212411826
937,0.35422248392538
939,0.321833837562576
941,0.291831201638181
943,0.289866665778744
945,0.323423711720361
947,0.344157702469241
949,0.375640943007053
951,0.371991189364913
953,0.376583598510364
955,0.398483984744396
957,0.436618897456243
959,0.483516858951394
961,0.54211193215923
963,0.59329770618994
965,0.614510025676921
967,0.64488053098666
969,0.665757482453995
971,0.689997881477003
973,0.721624041550062
975,0.756880276682764
977,0.788684363381778
979,0.801049010686611
981,0.816576058261661
983,0.827785618159936
985,0.850787857316674
987,0.87521529463957
989,0.894303976665817
991,0.913980255670351
993,0.922112174251218
995,0.925043728665407
997,0.926381282716427
999,0.92922711044812
1001,0.930941088052949
1003,0.931038358281089
1005,0.931465268383185
1007,0.931797913079676
1009,0.932271149485348
1011,0.933019366387826
1013,0.93505990147843
1015,0.934893550612212
1017,0.935300696154047
1019,0.935823858290788
1021,0.937213506883557
1023,0.937917487479206
1025,0.938096975455152
1027,0.938314881836001
1029,0.938334931930243
1031,0.93840862728022
1033,0.938554947575245
1035,0.939514543916363
1037,0.93946529922505
1039,0.939344914479817
1041,0.938765894389352
1043,0.938100142623562
1045,0.937272945241613
1047,0.936306592523761
1049,0.935136847563466
1051,0.933838691218178
1053,0.932394931143091
1055,0.930962705290144
1057,0.929569019871618
1059,0.92798125301114
1061,0.926485363445749
1063,0.925287944989241
1065,0.925256259153376
1067,0.925298992614678
1069,0.923737646119183
1071,0.921870302028564
1073,0.92197233909353
1075,0.918775188671815
1077,0.911654020352968
1079,0.912040232422463
1081,0.907180660455059
1083,0.907220970233498
1085,0.905192471806687
1087,0.893571436730926
1089,0.883571089346159
1091,0.86963251504897
1093,0.853541873682035
1095,0.839213911521638
1097,0.818087201672301
1099,0.792988578072293
1101,0.78337631154756
1103,0.758569090078233
1105,0.716320716431695
1107,0.668299802349487
1109,0.623308818073953
1111,0.570309578847919
1113,0.507422258728933
1115,0.45068919687926
1117,0.395485610892195
1119,0.344815261710311
1121,0.279289228622891
1123,0.251102702891676
1125,0.209268061835852
1127,0.197649402448278
1129,0.19707764246086
1131,0.217212668579809
1133,0.242302696855437
1135,0.244037045962769
1137,0.262330840523493
1139,0.29268341802248
1141,0.302027839136909
1143,0.306489911754302
1145,0.324356907555294
1147,0.352222171595078
1149,0.371299675064902
1151,0.379022536902337
1153,0.402984006843103
1155,0.455847291746445
1157,0.497132030477463
1159,0.524991168286191
1161,0.586373200716611
1163,0.624417846627442
1165,0.660471801560633
1167,0.699842799214722
1169,0.711568510173234
1171,0.740415791728904
1173,0.737495444587766
1175,0.743180495189809
1177,0.763021824848609
1179,0.75090958517274
1181,0.755434090041713
1183,0.761968764566223
1185,0.788480042254914
1187,0.780893132001175
1189,0.798546786104636
1191,0.803555298874309
1193,0.826156492709726
1195,0.818858583367953
1197,0.822491713885976
1199,0.84419740239229
1201,0.844862908653278
1203,0.839287193941186
1205,0.836453186784416
1207,0.846052608608997
1209,0.852094237534785
1211,0.856802084756381
1213,0.864012116369453
1215,0.881594246920829
1217,0.88267550199711
1219,0.892052532448396
1221,0.896632244608921
1223,0.908884382174472
1225,0.919816185584781
1227,0.924341904333545
1229,0.929736400725335
1231,0.935201801015396
1233,0.941356303458999
1235,0.948157413122631
1237,0.950790339905819
1239,0.952021934651659
1241,0.95480095267377
1243,0.95523462825767
1245,0.953121561148586
1247,0.950683654127059
1249,0.949387647521025
1251,0.945241651609145
1253,0.935123176691331
1255,0.920068692118572
1257,0.9070345325316
1259,0.893289305683401
1261,0.881918647147982
1263,0.875174422465289
1265,0.870377014289259
1267,0.867504304974274
1269,0.866028860310392
1271,0.86718415793841
1273,0.87657417619096
1275,0.890477334264469
1277,0.903147914629841
1279,0.915933784005884
1281,0.926484337723829
1283,0.927604291245031
1285,0.931904817067092
1287,0.930534654370748
1289,0.928667571526617
1291,0.917421224812138
1293,0.914119071023215
1295,0.890742372458586
1297,0.885206715511334
1299,0.872460573154212
1301,0.849028157207407
1303,0.838614817046171
1305,0.81435703275259
1307,0.804375613296279
1309,0.794283838058474
1311,0.775133051423632
1313,0.756879244925
1315,0.749728641854067
1317,0.728643166898558
1319,0.704969101557014
1321,0.691173097594152
1323,0.648942544966242
1325,0.622324842084016
1327,0.589618940506673
1329,0.553765858957276
1331,0.534724122702665
1333,0.506423998908295
1335,0.461796257941699
1337,0.408043974287678
1339,0.351520096623335
1341,0.29849029919502
1343,0.261771272123784
1345,0.219705034145158
1347,0.173498604082497
1349,0.128476862550798
1351,0.0851643077189793
1353,0.0400590999383381
1355,0.0208371133405155
1357,0.0058783085374759
1359,0.00466064711015736
1361,0.000483923683359236
1363,9.40405790821385E-05
1365,6.6632723139155E-05
1367,0.000124563360898668
1369,0.000424740071200525
1371,0.000446324008674122
1373,0.000447029169216716
1375,0.000446838647811506
1377,0.000444144282581603
1379,0.000445250867569528
1381,0.000582885193970447
1383,0.000588708508901909
1385,0.000561978763292015
1387,0.000491443036345391
1389,0.00054291051730763
1391,0.000520759661790516
1393,0.00103782497688262
1395,0.00124804522309874
1397,0.00182869954252499
1399,0.0022987606582654
1401,0.00229419689143443
1403,0.00306680202697505
1405,0.00315063417250411
1407,0.0134664250327177
1409,0.0170168020061353
1411,0.0194345047133487
1413,0.0326119433584544
1415,0.0374396974735766
1417,0.0452258404554229
1419,0.0460974503306331
1421,0.0645261252711858
1423,0.0644875567699128
1425,0.0706587545281855
1427,0.0717709210087963
1429,0.071828724577698
1431,0.0817385657935174
1433,0.0792376322506156
1435,0.0930465959476041
1437,0.0916783320637275
1439,0.125399113809784
1441,0.115240071749521
1443,0.133864173272963
1445,0.170373053290409
1447,0.186777501481975
1449,0.224803800080869
1451,0.238988513333792
1453,0.268763997245706
1455,0.297840317578634
1457,0.311527178423829
1459,0.300830448370088
1461,0.308034567220839
1463,0.303569973964914
1465,0.292687022486962
1467,0.28691230560718
1469,0.265377976923164
1471,0.258150966646153
1473,0.235882211681901
1475,0.232287964706975
1477,0.251405647409149
1479,0.261592635294485
1481,0.302454015954995
1483,0.341246857855612
1485,0.374909577703354
1487,0.409080439114177
1489,0.450195035900501
1491,0.511832087503318
1493,0.569411216113654
1495,0.580119290882381
1497,0.62853775535901
1499,0.675305420911734
1501,0.708205717873035
1503,0.742274951756039
1505,0.75365756363519
1507,0.784277897610257
1509,0.807242684231929
1511,0.815558208742663
1513,0.830666181627564
1515,0.869595898674866
1517,0.872215045035097
1519,0.88609187752706
1521,0.889458325653543
1523,0.89736539804867
1525,0.915258824021838
1527,0.923495118925093
1529,0.935630486267977
1531,0.942222427377724
1533,0.945855384687523
1535,0.947295398634831
1537,0.952785455737054
1539,0.954673064577993
1541,0.959211877821121
1543,0.959947737761292
1545,0.96220828324252
1547,0.964373216648542
1549,0.96504935368434
1551,0.966488480367499
1553,0.968374210905445
1555,0.969994632924494
1557,0.970784515375832
1559,0.96968584269976
1561,0.962549335837402
1563,0.952710495922038
1565,0.945094682914368
1567,0.939965501545266
1569,0.93146827995508
1571,0.924309694880074
1573,0.919910377789481
1575,0.917951539145059
1577,0.917038148185869
1579,0.918415955909241
1581,0.925513035300166
1583,0.935846235788964
1585,0.943424235029676
1587,0.948436461137441
1589,0.955937790741023
1591,0.957410682148942
1593,0.952524398591568
1595,0.946236727610198
1597,0.944796056519054
1599,0.936806572455502
1601,0.930280807842494
1603,0.926322270422496
1605,0.924379894211336
1607,0.923577602540894
1609,0.924137354128488
1611,0.929888286876041
1613,0.939647061585988
1615,0.948151642605645
1617,0.950612871865032
1619,0.958326203214966
1621,0.964780945712029
1623,0.968771012902066
1625,0.970865879502415
1627,0.971168734243531
1629,0.968470184804592
1631,0.963790344893281
1633,0.962236642470094
1635,0.961234169415771
1637,0.956354697110712
1639,0.951225787244022
1641,0.94995556671771
1643,0.948428478822735
1645,0.943871595369992
1647,0.942314619598083
1649,0.945167486619127
1651,0.949430025984368
1653,0.948661964834342
1655,0.948990499876492
1657,0.936314760407039
1659,0.940950036140235
1661,0.942197536291645
1663,0.943832756838773
1665,0.947042524145322
1667,0.948518149129095
1669,0.945804119601337
1671,0.945864179986361
1673,0.948293808080994
1675,0.942648396425395
1677,0.960359316022628
1679,0.960841981262434
1681,0.959604405500826
1683,0.957676300313306
1685,0.956500773798919
1687,0.957186261657491
1689,0.959619789907001
1691,0.957408954075011
1693,0.956772973470249
1695,0.960994652658007
1697,0.957508682634861
1699,0.95341383573935
1701,0.949578701661141
1703,0.946342260968246
1705,0.94333010015067
1707,0.937775943769755
1709,0.932876544070939
1711,0.930190897349826
1713,0.923871727579467
1715,0.917668875573193
1717,0.91192614667545
1719,0.906987346230684
1721,0.902852474238897
1723,0.89837070758593
1725,0.893542046271783
1727,0.888391789971909
1729,0.882945238361757
1731,0.877202391441328
1733,0.870914256377707
1735,0.864080833170894
1737,0.858264810461289
1739,0.855028876889292
1741,0.854373032454904
1743,0.851614104279701
1745,0.846752092363682
1747,0.841864957840545
1749,0.839030661843988
1751,0.83824920437401
1753,0.83392675589427
1755,0.826063316404767
1757,0.816295009823094
1759,0.806257960066838
1761,0.795952167136001
1763,0.782985236768193
1765,0.767357168963415
1767,0.747861514932642
1769,0.72329182588685
1771,0.69364810182604
1773,0.664550095255847
1775,0.635997806176272
1777,0.607977208516395
1779,0.580474276205297
1781,0.553489009242976
1783,0.522540924569778
1785,0.487630022185702
1787,0.450637506787859
1789,0.41344458307336
1791,0.376051251042206
1793,0.339770238913166
1795,0.304601546686243
1797,0.268038455157516
1799,0.227574245123067
1801,0.183208916582897
1803,0.146690759497122
1805,0.118019773865744
1807,0.0946387669185905
1809,0.0739905458854899
1811,0.0560751107664422
1813,0.0422008478708582
